source,go-ipfs,js-ipfs,command,Chunker,CidVer,Inlining,RawLeaves,Trickle
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-128-65535-524288 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-128-65535-524288","1","0","true","true"
../testdata/zero_0B.zst,bafkreihdwdcefgh4dqkjv67uzcmw7ojee6xedzdetojuzjevtenxquvyku,, add --chunker=rabin-262141 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-262141","1","0","true","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262141 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-262141","1","0","true","true"
../testdata/zero_0B.zst,bafkreihdwdcefgh4dqkjv67uzcmw7ojee6xedzdetojuzjevtenxquvyku,, add --chunker=rabin-262144-524288-1048576 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-262144-524288-1048576","1","0","true","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262144-524288-1048576 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-262144-524288-1048576","1","0","true","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=size-1048576 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"size-1048576","1","0","true","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=size-262144 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"size-262144","1","0","true","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=size-65535 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"size-65535","1","0","true","true"
../testdata/repeat_0.04GiB_175_1.zst,bafybeib35eltpqi7nmpls4owckv6ezsqy7q6qk7b3v5w4fcsaqlum67zqy,bafybeifamqozwjfgxme4q6ppxna4nzbx77qst4evtyd53kamxgumugsw7m, add --chunker=rabin --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin","1","0","false","false"
../testdata/repeat_0.04GiB_175_1.zst,bafybeiclsh7wxhrz2eaq4q5eyywmudpwgaw7bfvxvcglvcgr26ye37zpqu,bafybeiczs3mltr3ex5eszsam6asxb6o3yzbzq74an7ybdwfd3btbua7yge, add --chunker=rabin --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin","1","0","false","true"
